380	223	1
394	202	1
419	198	1
447	215	1
426	226	1
669	214	0
690	179	0
698	205	0
678	196	0
712	190	0
734	248	0
703	247	0
677	252	0
685	224	0
718	216	0
706	229	0
405	219	1
446	233	1
492	236	1
482	199	1
468	166	1
446	171	1
445	186	1
464	205	1
431	254	1
465	238	1
473	222	1
653	234	0
637	212	0
649	180	0
658	195	0
656	210	0
506	217	1
510	184	1
490	179	1
675	243	0
693	261	0
713	263	0
727	235	0
693	240	0
663	226	0
512	204	1
469	186	1
493	156	1
497	201	1
380	223	1
394	202	1
419	198	1
447	215	1
426	226	1
669	214	0
690	179	0
698	205	0
678	196	0
712	190	0
734	248	0
703	247	0
677	252	0
685	224	0
718	216	0
706	229	0
405	219	1
446	233	1
492	236	1
482	199	1
468	166	1
446	171	1
445	186	1
464	205	1
431	254	1
465	238	1
473	222	1
653	234	0
637	212	0
649	180	0
658	195	0
656	210	0
506	217	1
510	184	1
490	179	1
675	243	0
693	261	0
713	263	0
727	235	0
693	240	0
663	226	0
512	204	1
469	186	1
493	156	1
497	201	1
603	214	0
617	191	0
617	191	0
598	192	0
598	170	0
612	156	0
632	169	0
630	202	0
531	214	1
537	196	1
530	170	1
517	161	1
552	179	1
553	206	1
527	234	1
502	250	1
508	230	1
487	215	1
487	215	1
469	256	1
494	200	1
526	187	1
545	194	1
614	206	0
619	229	0
639	236	0
649	246	0
650	161	0
670	165	0
500	171	1
431	207	1
428	182	1
613	179	0
640	194	0
666	183	0
694	219	0
536	154	1
517	150	1
481	165	1
380	223	0
394	202	0
419	198	0
447	215	0
426	226	0
669	214	1
690	179	1
698	205	1
678	196	1
712	190	1
734	248	1
703	247	1
677	252	1
685	224	1
718	216	1
706	229	1
405	219	0
446	233	0
492	236	0
482	199	0
468	166	0
446	171	0
445	186	0
464	205	0
431	254	0
465	238	0
473	222	0
653	234	1
637	212	1
649	180	1
658	195	1
656	210	1
506	217	0
510	184	0
490	179	0
675	243	1
693	261	1
713	263	1
727	235	1
693	240	1
663	226	1
512	204	0
469	186	0
493	156	0
497	201	0
603	214	1
617	191	1
617	191	1
598	192	1
598	170	1
612	156	1
632	169	1
630	202	1
531	214	0
537	196	0
530	170	0
517	161	0
552	179	0
553	206	0
527	234	0
502	250	0
508	230	0
487	215	0
487	215	0
469	256	0
494	200	0
526	187	0
545	194	0
614	206	1
619	229	1
639	236	1
649	246	1
650	161	1
670	165	1
500	171	0
431	207	0
428	182	0
613	179	1
640	194	1
666	183	1
694	219	1
536	154	0
517	150	0
481	165	0
380	223	1
394	202	1
419	198	1
447	215	1
426	226	1
669	214	0
690	179	0
698	205	0
678	196	0
712	190	0
734	248	0
703	247	0
677	252	0
685	224	0
718	216	0
706	229	0
405	219	1
446	233	1
492	236	1
482	199	1
468	166	1
446	171	1
445	186	1
464	205	1
431	254	1
465	238	1
473	222	1
653	234	0
637	212	0
649	180	0
658	195	0
656	210	0
506	217	1
510	184	1
490	179	1
675	243	0
693	261	0
713	263	0
727	235	0
693	240	0
663	226	0
512	204	1
469	186	1
493	156	1
497	201	1
603	214	0
617	191	0
617	191	0
598	192	0
598	170	0
612	156	0
632	169	0
630	202	0
531	214	1
537	196	1
530	170	1
517	161	1
552	179	1
553	206	1
527	234	1
502	250	1
508	230	1
487	215	1
487	215	1
469	256	1
494	200	1
526	187	1
545	194	1
614	206	0
619	229	0
639	236	0
649	246	0
650	161	0
670	165	0
500	171	1
431	207	1
428	182	1
613	179	0
640	194	0
666	183	0
694	219	0
536	154	1
517	150	1
481	165	1
380	223	1
394	202	1
419	198	1
447	215	1
426	226	1
669	214	2
576	302	0
575	285	0
548	310	0
570	317	0
593	301	0
584	267	0
558	273	0
546	282	0
589	312	0
588	291	0
603	290	0
678	196	2
712	190	2
734	248	2
703	247	2
677	252	2
685	224	2
718	216	2
706	229	2
405	219	1
446	233	1
663	226	2
512	204	1
469	186	1
493	156	1
497	201	1
566	276	0
594	281	0
559	291	0
465	238	1
473	222	1
653	234	2
637	212	2
492	236	1
482	199	1
468	166	1
446	171	1
445	186	1
464	205	1
431	254	1
690	179	2
698	205	2
649	180	2
658	195	2
656	210	2
506	217	1
510	184	1
490	179	1
675	243	2
693	261	2
713	263	2
727	235	2
693	240	2
380	223	2
394	202	2
419	198	2
447	215	2
469	186	2
493	156	2
497	201	2
566	276	3
617	132	0
610	115	0
587	116	0
586	132	0
592	151	0
571	112	0
426	226	2
669	214	1
576	302	3
575	285	3
548	310	3
570	317	3
593	301	3
584	267	3
558	273	3
546	282	3
589	312	3
588	291	3
603	290	3
678	196	1
712	190	1
734	248	1
703	247	1
677	252	1
685	224	1
718	216	1
706	229	1
405	219	2
446	233	2
663	226	1
512	204	2
578	97	0
595	102	0
607	136	0
594	281	3
559	291	3
465	238	2
473	222	2
653	234	1
637	212	1
492	236	2
482	199	2
468	166	2
446	171	2
445	186	2
464	205	2
431	254	2
690	179	1
570	132	0
582	152	0
592	120	0
599	138	0
607	155	0
698	205	1
649	180	1
658	195	1
656	210	1
506	217	2
510	184	2
490	179	2
675	243	1
693	261	1
713	263	1
727	235	1
693	240	1
